nrows	sim_id	rxn_type	mean_abort_per_m	sd_abort_per_m	total_abort	total_time	abort_freq
1	0	preterm_no_hit_endocleaved	1	NA	1	154671	6e-6
2	1	preterm_5_hit_endocleaved	1	NA	1	456931	2e-6
2	1	preterm_no_hit_endocleaved	1	0	7	792377	9e-6
1	10	preterm_no_hit_endocleaved	1	NA	1	745497	1e-6
2	11	preterm_5_hit_endocleaved	1	NA	1	742948	1e-6
2	11	preterm_no_hit_endocleaved	1	0	19	959694	2e-5
2	12	preterm_5_hit_endocleaved	1	0	12	709953	1.7e-5
2	12	preterm_no_hit_endocleaved	1	0	89	975039	9.1e-5
2	13	preterm_5_hit_endocleaved	1	0	147	997522	1.47e-4
2	13	preterm_no_hit_endocleaved	2	1	582	997522	5.83e-4
2	14	preterm_5_hit_endocleaved	3	2	2201	997980	0.002205
2	14	preterm_no_hit_endocleaved	4	1	3424	998641	0.003429
2	15	preterm_5_hit_endocleaved	6	4	6732	998784	0.00674
2	15	preterm_no_hit_endocleaved	6	2	6261	998784	0.006269
2	16	preterm_5_hit_endocleaved	9	5	9199	999461	0.009204
2	16	preterm_no_hit_endocleaved	7	3	6714	999461	0.006718
2	17	preterm_5_hit_endocleaved	12	6	12288	998908	0.012301
2	17	preterm_no_hit_endocleaved	7	4	7748	998908	0.007756
1	18	preterm_no_hit_endocleaved	1	0	2	240745	8e-6
2	2	preterm_5_hit_endocleaved	1	0	2	779592	3e-6
2	2	preterm_no_hit_endocleaved	1	0	22	928365	2.4e-5
2	20	preterm_5_hit_endocleaved	2	NA	2	101785	2e-5
2	20	preterm_no_hit_endocleaved	1	0	8	664590	1.2e-5
2	21	preterm_5_hit_endocleaved	1	0	7	865185	8e-6
2	21	preterm_no_hit_endocleaved	1	0	67	986581	6.8e-5
2	22	preterm_5_hit_endocleaved	1	1	158	987052	1.6e-4
2	22	preterm_no_hit_endocleaved	2	1	520	997967	5.21e-4
2	23	preterm_5_hit_endocleaved	3	2	2122	999929	0.002122
2	23	preterm_no_hit_endocleaved	4	1	3379	999929	0.003379
2	24	preterm_5_hit_endocleaved	7	4	6968	1000000	0.006968
2	24	preterm_no_hit_endocleaved	6	2	6000	1000000	0.006
2	25	preterm_5_hit_endocleaved	10	5	10003	999097	0.010012
2	25	preterm_no_hit_endocleaved	7	3	7264	999097	0.007271
2	26	preterm_5_hit_endocleaved	12	6	11669	999998	0.011669
2	26	preterm_no_hit_endocleaved	7	4	7471	999998	0.007471
1	27	preterm_no_hit_endocleaved	1	NA	1	98325	1e-5
1	28	preterm_no_hit_endocleaved	1	NA	1	327143	3e-6
1	29	preterm_no_hit_endocleaved	1	0	7	928915	8e-6
2	3	preterm_5_hit_endocleaved	1	0	21	913876	2.3e-5
2	3	preterm_no_hit_endocleaved	1	0	100	987206	1.01e-4
2	30	preterm_5_hit_endocleaved	1	0	9	964199	9e-6
2	30	preterm_no_hit_endocleaved	1	0	67	999486	6.7e-5
2	31	preterm_5_hit_endocleaved	1	1	121	971509	1.25e-4
2	31	preterm_no_hit_endocleaved	2	1	509	989166	5.15e-4
2	32	preterm_5_hit_endocleaved	3	2	2070	999436	0.002071
2	32	preterm_no_hit_endocleaved	4	1	3288	999436	0.00329
2	33	preterm_5_hit_endocleaved	6	4	6976	998807	0.006984
2	33	preterm_no_hit_endocleaved	6	2	6703	998807	0.006711
2	34	preterm_5_hit_endocleaved	10	5	10211	999585	0.010215
2	34	preterm_no_hit_endocleaved	7	3	7479	999585	0.007482
2	35	preterm_5_hit_endocleaved	12	6	11942	999885	0.011943
2	35	preterm_no_hit_endocleaved	7	3	7688	999885	0.007689
1	37	preterm_no_hit_endocleaved	1	0	3	911777	3e-6
2	38	preterm_5_hit_endocleaved	1	0	2	905854	2e-6
2	38	preterm_no_hit_endocleaved	1	0	5	905854	6e-6
2	39	preterm_5_hit_endocleaved	1	0	3	969325	3e-6
