nrows	sim_id	rxn_type	mean_abort_per_m	sd_abort_per_m	total_abort	total_time	abort_freq
2	0	preterm_5_hit_intact	128	NA	128	999853	1.28e-4
2	0	preterm_both_hit_intact	1	NA	1	999853	1e-6
2	1	preterm_5_hit_intact	542	NA	542	999973	5.42e-4
2	1	preterm_both_hit_intact	1	NA	1	999973	1e-6
1	10	preterm_5_hit_intact	519	NA	519	999900	5.19e-4
2	11	preterm_5_hit_intact	2053	NA	2053	999993	0.002053
2	11	preterm_both_hit_intact	1	NA	1	999993	1e-6
2	12	preterm_5_hit_intact	7228	NA	7228	999985	0.007228
2	12	preterm_both_hit_intact	47	NA	47	999985	4.7e-5
2	13	preterm_5_hit_intact	23413	NA	23413	999983	0.023413
2	13	preterm_both_hit_intact	314	NA	314	999983	3.14e-4
2	14	preterm_5_hit_intact	64314	NA	64314	999997	0.064314
2	14	preterm_both_hit_intact	1564	NA	1564	999997	0.001564
2	15	preterm_5_hit_intact	146913	NA	146913	999996	0.146914
2	15	preterm_both_hit_intact	5898	NA	5898	999996	0.005898
2	16	preterm_5_hit_intact	271909	NA	271909	999999	0.271909
2	16	preterm_both_hit_intact	15412	NA	15412	999999	0.015412
2	17	preterm_5_hit_intact	309325	NA	309325	746837	0.41418
2	17	preterm_both_hit_intact	19902	NA	19902	746837	0.026648
1	18	preterm_5_hit_intact	132	NA	132	999662	1.32e-4
1	19	preterm_5_hit_intact	514	NA	514	999966	5.14e-4
2	2	preterm_5_hit_intact	1967	NA	1967	999989	0.001967
2	2	preterm_both_hit_intact	8	NA	8	999989	8e-6
2	20	preterm_5_hit_intact	1926	NA	1926	999963	0.001926
2	20	preterm_both_hit_intact	8	NA	8	999963	8e-6
2	21	preterm_5_hit_intact	7185	NA	7185	999931	0.007185
2	21	preterm_both_hit_intact	54	NA	54	999931	5.4e-5
2	22	preterm_5_hit_intact	23599	NA	23599	999998	0.023599
2	22	preterm_both_hit_intact	309	NA	309	999998	3.09e-4
2	23	preterm_5_hit_intact	66321	NA	66321	999999	0.066321
2	23	preterm_both_hit_intact	1662	NA	1662	999999	0.001662
2	24	preterm_5_hit_intact	151459	NA	151459	999999	0.151459
2	24	preterm_both_hit_intact	6282	NA	6282	999999	0.006282
2	25	preterm_5_hit_intact	278826	NA	278826	999999	0.278826
2	25	preterm_both_hit_intact	16269	NA	16269	999999	0.016269
2	26	preterm_5_hit_intact	363274	NA	363274	860230	0.422298
